"Authors","Author full names","Author(s) ID","Title","Year","Link"
"Sousa E.L.D.; Marques L.A.D.A.; Lima I.D.S.F.D.; Neves A.B.M.; Cunha E.N.; Kreutz M.E.; Neto A.J.V.","Sousa, Ewerton L. de (58548243300); Marques, Leonardo A. de Aquino (58548808500); Lima, Israel da S. Felix de (58548808600); Neves, Ana Beatriz M. (58547966500); Cunha, Eduardo Nogueira (57189387758); Kreutz, Márcio Eduardo (8833771300); Neto, Augusto José V. (35105652600)","58548243300; 58548808500; 58548808600; 58547966500; 57189387758; 8833771300; 35105652600","Development a Low-Cost Wireless Smart Meter with Power Quality Measurement for Smart Grid Applications","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168716286&doi=10.3390%2fs23167210&partnerID=40&md5=3105fd8d1fd8196abda1273125727d9c"
"de Oliveira J.G.; Kreutz M.E.","de Oliveira, Joel Gonçalves (59255885600); Kreutz, Marcio Eduardo (8833771300)","59255885600; 8833771300","The Blind Spots of Two-Factor Authentication Tools","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200976488&doi=10.1007%2f978-3-031-65522-7_50&partnerID=40&md5=5ec0e9b0f1d31827f98c6348dd1b2344"
"Castillo J.S.; Gaete K.P.; Muñoz H.A.; Gallardo D.I.; Bourguignon M.; Venegas O.; Gómez H.W.","Castillo, Jaime S. (58099577300); Gaete, Katherine P. (58099935900); Muñoz, Héctor A. (58099577400); Gallardo, Diego I. (56736005700); Bourguignon, Marcelo (55372187300); Venegas, Osvaldo (6506769962); Gómez, Héctor W. (10639386400)","58099577300; 58099935900; 58099577400; 56736005700; 55372187300; 6506769962; 10639386400","Scale Mixture of Maxwell-Boltzmann Distribution","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147883470&doi=10.3390%2fmath11030529&partnerID=40&md5=0132d605255057ac2656706ba716d120"
"Contoli C.; Tourani R.; Neto A.; Esposito F.; McNair J.","Contoli, Chiara (56342819200); Tourani, Reza (55849143800); Neto, Augusto (59337970100); Esposito, Flavio (23008401900); McNair, Janise (35610572500)","56342819200; 55849143800; 59337970100; 23008401900; 35610572500","Message from the Chairs","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204593560&doi=10.1109%2fNetSoft60951.2024.10679785&partnerID=40&md5=c459636fd51d86e5c3f22a00f663e331"
"Almeida D.B.T.; Alencar M.S.; Duarte R.M.; Silva H.S.; Madeiro F.; Lopes W.T.A.; Queiroz W.J.L.","Almeida, Danilo B. T. (57201084931); Alencar, Marcelo S. (7004192487); Duarte, Rafael M. (56039167500); Silva, Hugerles S. (57188746395); Madeiro, Francisco (6507629972); Lopes, Waslon T. A. (6603358314); Queiroz, Wamberto J. L. (6602436642)","57201084931; 7004192487; 56039167500; 57188746395; 6507629972; 6603358314; 6602436642","On the Adaptive Modulation for User-Centric Cell-Free Massive MIMO Systems","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85187011537&doi=10.1109%2fACCESS.2024.3370944&partnerID=40&md5=13dc8cfcfdef88b9ec0776eb6a8c9afd"
"Lima D.V.C.; Terrematte P.; Stransky B.; Neto A.D.D.","Lima, Debora V. C. (59001675900); Terrematte, Patrick (40462477300); Stransky, Beatriz (6506177045); Neto, Adriao D. D. (57606728000)","59001675900; 40462477300; 6506177045; 57606728000","An Integrated Data Analysis Using Bioinformatics and Random Forest to Predict Prognosis of Patients With Squamous Cell Lung Cancer","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191318112&doi=10.1109%2fACCESS.2024.3392277&partnerID=40&md5=adf76403e930c802ad82f91a2fb46b25"
"da Silva S.L.E.F.; de Araújo J.M.; de la Barra E.; Corso G.","da Silva, Sérgio Luiz E. F. (59157765300); de Araújo, João M. (57213245421); de la Barra, Erick (57221676510); Corso, Gilberto (56250847700)","59157765300; 57213245421; 57221676510; 56250847700","A Graph-Space Optimal Transport Approach Based on Kaniadakis κ-Gaussian Distribution for Inverse Problems Related to Wave Propagation","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85175110822&doi=10.3390%2fe25070990&partnerID=40&md5=005cc22f8259d6d358056e83f9e79ee5"
"Oliveira I.B.; Francisco Andrade A.; Da Costa E.G.; Cardoso I.S.; Silva H.D.; Leite Neto A.F.","Oliveira, Iago Batista (57884130800); Francisco Andrade, Arthur (56909500500); Da Costa, Edson Guedes (15922316900); Cardoso, Izadora Soares (58651680400); Silva, Henrique Dantas (58651674000); Leite Neto, Antonio Francisco (57884385400)","57884130800; 56909500500; 15922316900; 58651680400; 58651674000; 57884385400","An assessment of the impact of distributed generation and load unbalance on technical losses; [Uma Avaliação de Impactos da Geração Distribuída e Desbalanceamento de Carga nas Perdas Técnicas]","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85195620396&doi=10.1109%2fCBQEE59548.2023.10503768&partnerID=40&md5=26bf8782037f1be18f494568cb7875dd"
"Distante C.; Carcagni P.; Gonçalves da Silva A., Jr.; Gonçalves L.M.G.","Distante, Cosimo (55884135100); Carcagni, Pierluigi (23003296600); Gonçalves da Silva, Andouglas (57222350086); Gonçalves, Luiz Marcos Garcia (58069927800)","55884135100; 23003296600; 57222350086; 58069927800","EREMITE: A marinE infRastructurE to MonItor the sTate of the sEas","2024","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85204995522&partnerID=40&md5=c641a117b913ed396af6be5a91619280"
"De Sousa Silva I., Jr.; De Siqueira Campos A.L.P.; Neto A.G.; Da Silva M.W.B.","De Sousa Silva, Isaú (58869747000); De Siqueira Campos, Antônio Luiz Pereira (57778856200); Neto, Alfredo Gomes (6603647208); Da Silva, Mauricio Weber Benjó (57220059007)","58869747000; 57778856200; 6603647208; 57220059007","Integrated Dual-Band Monopole Antenna with Frequency Selective Surface for Non-Invasive Biomedical Sensor Application","2023","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85184347629&doi=10.1109%2fIMOC57131.2023.10379731&partnerID=40&md5=8b01c57c74c649c6e691101a1a04a8a4"
